29163,"Service, Hospitality & Tourism Management, Associate Degree",https://www.bachelorsportal.com/studies/29163/service-hospitality-tourism-management.html,"https://www.bachelorsportal.com/search/#q=di-89,319|lv-preparation",Denmark,Aalborg,University College of Northern Denmark,0,/ year,2 Years,On campus,23,Business & Management
48562,"(Hons) Business Studies, B.A.",https://www.bachelorsportal.com/studies/48562/business-studies.html,https://www.bachelorsportal.com/search/#q=di-45|lv-preparation,United Kingdom,Bangor,Bangor University,0,/ year,3 Years,On campus,23,Business & Management
47357,"International Business, B.B.A.",https://www.bachelorsportal.com/studies/47357/international-business.html,https://www.bachelorsportal.com/search/#q=di-45|lv-preparation,Finland,Kotka,Kymenlaakso University of Applied Sciences (KYAMK),0,/ year,"3 Years, 6 months",On campus,23,Business & Management
23356,"International Business, B.B.A.",https://www.bachelorsportal.com/studies/23356/international-business.html,https://www.bachelorsportal.com/search/#q=di-241|lv-preparation,Finland,Seinäjoki,SeAMK - Seinäjoki University of Applied Sciences,0,/ year,"3 Years, 6 months",On campus,23,Business & Management
26843,"International Finance, B.Sc.",https://www.bachelorsportal.com/studies/26843/international-finance.html,https://www.bachelorsportal.com/search/#q=di-87|lv-preparation,Germany,Frankfurt am Main,University of Applied Sciences Frankfurt am Main,0,/ year,"3 Years, 6 months",On campus,23,Business & Management
16291,"Product Design (Marketing & Innovation), B.Sc.",https://www.bachelorsportal.com/studies/16291/product-design.html,https://www.bachelorsportal.com/search/#q=di-88|lv-preparation,Ireland,Maynooth,Maynooth University,0,/ year,3 Years,On campus,23,Business & Management
27168,"Aviation Management / Luftverkehrsmanagement, B.A.",https://www.bachelorsportal.com/studies/27168/aviation-management-luftverkehrsmanagement.html,https://www.bachelorsportal.com/search/#q=di-89|lv-preparation,Germany,Frankfurt am Main,University of Applied Sciences Frankfurt am Main,0,/ year,3 Years,On campus,23,Business & Management
27148,"Business Administration / Betriebswirtschaft, B.A.",https://www.bachelorsportal.com/studies/27148/business-administration-betriebswirtschaft.html,https://www.bachelorsportal.com/search/#q=di-45|lv-preparation,Germany,Frankfurt am Main,University of Applied Sciences Frankfurt am Main,0,/ year,"3 Years, 6 months",On campus,23,Business & Management
92178,"Innovation and Entrepreneurship, B.B.A.",https://www.bachelorsportal.com/studies/92178/innovation-and-entrepreneurship.html,"https://www.bachelorsportal.com/search/#q=di-86,240|lv-preparation",Denmark,Copenhagen,Copenhagen Business Academy (Cphbusiness),0,/ year,"1 year, 6 months",On campus,23,Business & Management
15626,"Global Sales and Marketing GSM, B.A.",https://www.bachelorsportal.com/studies/15626/global-sales-and-marketing-gsm.html,https://www.bachelorsportal.com/search/#q=di-88|lv-preparation,Austria,Steyr,University of Applied Sciences Upper Austria,0,/ year,3 Years,On campus,23,Business & Management
